figure	function	call	n	run	seconds	bytes	language	version
vector	sum	sum($x)	1000	0	7.70257926191797e-07	0	Stats::LikeR	0.321
vector	sum	sum($x)	1000	1	7.64319367730733e-07	0	Stats::LikeR	0.321
vector	sum	sum($x)	1000	2	7.67530544924668e-07	0	Stats::LikeR	0.321
vector	sum	sum($x)	1000	3	7.66394136063364e-07	0	Stats::LikeR	0.321
vector	sum	sum($x)	1000	4	7.67303263152407e-07	0	Stats::LikeR	0.321
vector	sum	sum($x)	1000	5	7.62019510054512e-07	0	Stats::LikeR	0.321
vector	sum	sum($x)	1000	6	7.70257926191797e-07	0	Stats::LikeR	0.321
vector	min	min($x)	1000	0	1.14985874720982e-06	0	Stats::LikeR	0.321
vector	min	min($x)	1000	1	1.14595469573887e-06	0	Stats::LikeR	0.321
vector	min	min($x)	1000	2	1.14854275257595e-06	0	Stats::LikeR	0.321
vector	min	min($x)	1000	3	1.15334064967861e-06	0	Stats::LikeR	0.321
vector	min	min($x)	1000	4	1.15640965726287e-06	0	Stats::LikeR	0.321
vector	min	min($x)	1000	5	1.14413644156079e-06	0	Stats::LikeR	0.321
vector	min	min($x)	1000	6	1.14209090561044e-06	0	Stats::LikeR	0.321
vector	max	max($x)	1000	0	1.1548169257102e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	1000	1	1.15345499422348e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	1000	2	1.14854275257595e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	1000	3	1.15050033118409e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	1000	4	1.15120653681944e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	1000	5	1.1655262538365e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	1000	6	1.16450445992606e-06	4096	Stats::LikeR	0.321
vector	sum	List::Util::sum(@$x)	1000	0	4.53159726899246e-06	12288	List::Util	1.70
vector	sum	List::Util::sum(@$x)	1000	1	4.53054904937744e-06	12288	List::Util	1.70
vector	sum	List::Util::sum(@$x)	1000	2	4.52995300292969e-06	12288	List::Util	1.70
vector	sum	List::Util::sum(@$x)	1000	3	4.50015068054199e-06	12288	List::Util	1.70
vector	sum	List::Util::sum(@$x)	1000	4	4.49376446860177e-06	12288	List::Util	1.70
vector	sum	List::Util::sum(@$x)	1000	5	4.49001789093018e-06	12288	List::Util	1.70
vector	sum	List::Util::sum(@$x)	1000	6	4.52640510740734e-06	12288	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	0	5.51093517421101e-06	8192	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	1	5.4621228984758e-06	8192	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	2	5.55038452148438e-06	8192	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	3	5.36021064309513e-06	8192	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	4	5.36862541647518e-06	8192	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	5	5.28950508826417e-06	8192	List::Util	1.70
vector	min	List::Util::min(@$x)	1000	6	5.51581382751465e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	0	4.03693358822646e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	1	4.21343178584658e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	2	4.27844477634804e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	3	4.14474337708716e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	4	4.16605096114309e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	5	4.1961669921875e-06	8192	List::Util	1.70
vector	max	List::Util::max(@$x)	1000	6	4.0646989335898e-06	8192	List::Util	1.70
vector	mean	mean($x)	1000	0	7.77985506448664e-07	0	Stats::LikeR	0.321
vector	mean	mean($x)	1000	1	7.6840800359957e-07	0	Stats::LikeR	0.321
vector	mean	mean($x)	1000	2	7.58666555806497e-07	0	Stats::LikeR	0.321
vector	mean	mean($x)	1000	3	7.6738584463236e-07	0	Stats::LikeR	0.321
vector	mean	mean($x)	1000	4	7.67303263152407e-07	0	Stats::LikeR	0.321
vector	mean	mean($x)	1000	5	7.58893837578758e-07	0	Stats::LikeR	0.321
vector	mean	mean($x)	1000	6	7.7684909758736e-07	0	Stats::LikeR	0.321
vector	median	median($x)	1000	0	4.77075576782227e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	1000	1	4.74708420889718e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	1000	2	4.71160525367374e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	1000	3	4.76198537009103e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	1000	4	4.72295851934524e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	1000	5	4.95853878202892e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	1000	6	4.83942966835172e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	1000	0	1.51096851833095e-06	0	Stats::LikeR	0.321
vector	sd	sd($x)	1000	1	1.52690070016044e-06	0	Stats::LikeR	0.321
vector	sd	sd($x)	1000	2	1.51665126629621e-06	0	Stats::LikeR	0.321
vector	sd	sd($x)	1000	3	1.51096922198969e-06	0	Stats::LikeR	0.321
vector	sd	sd($x)	1000	4	1.52403902010902e-06	0	Stats::LikeR	0.321
vector	sd	sd($x)	1000	5	1.54575989816222e-06	0	Stats::LikeR	0.321
vector	sd	sd($x)	1000	6	1.5102398740517e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	0	1.5183498984889e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	1	1.52942196872581e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	2	1.52167151955997e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	3	1.51259558541434e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	4	1.51756039338526e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	5	1.51157379150391e-06	0	Stats::LikeR	0.321
vector	var	var($x)	1000	6	1.50346892350509e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	0	6.3478946685791e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	1	6.20319832504065e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	2	6.15834224561931e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	3	6.1805431659405e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	4	6.14791080869477e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	5	6.15531000597724e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	1000	6	6.21914863586426e-06	0	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	0	3.13222408294678e-06	8192	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	1	3.34075587963768e-06	8192	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	2	3.08581760951451e-06	8192	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	3	3.08990478515625e-06	8192	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	4	3.09126717703683e-06	8192	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	5	3.08737581075444e-06	8192	Stats::LikeR	0.321
vector	cor	cor($x, $y)	1000	6	3.09316735518606e-06	8192	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	0	3.53753566741943e-06	12288	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	1	3.50886867159889e-06	12288	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	2	3.51011753082275e-06	12288	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	3	3.51011753082275e-06	12288	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	4	3.50713729858398e-06	12288	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	5	3.509521484375e-06	12288	Stats::LikeR	0.321
vector	cov	cov($x, $y)	1000	6	3.48806381225586e-06	12288	Stats::LikeR	0.321
vector	skew	skew($x)	1000	0	9.89075863000118e-06	0	Stats::LikeR	0.321
vector	skew	skew($x)	1000	1	9.91326212231579e-06	0	Stats::LikeR	0.321
vector	skew	skew($x)	1000	2	9.88837726955307e-06	0	Stats::LikeR	0.321
vector	skew	skew($x)	1000	3	9.92889612750277e-06	0	Stats::LikeR	0.321
vector	skew	skew($x)	1000	4	9.86896577428599e-06	0	Stats::LikeR	0.321
vector	skew	skew($x)	1000	5	9.94453013268976e-06	0	Stats::LikeR	0.321
vector	skew	skew($x)	1000	6	9.89913940429688e-06	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	0	9.89632528336322e-06	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	1	9.85424693037824e-06	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	2	9.86040637479814e-06	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	3	9.85503196716309e-06	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	4	9.85026359558105e-06	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	5	9.90805078725346e-06	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	1000	6	9.84681760027109e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	0	2.19016905255646e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	1	2.16552189418248e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	2	2.15348927115622e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	3	2.15030851818266e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	4	2.16858727591378e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	5	2.17710222516741e-06	4096	Stats::LikeR	0.321
vector	sum	sum($x)	3000	6	2.24999019077846e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	0	3.34978103637695e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	1	3.33011150360107e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	2	3.33011150360107e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	3	3.31759452819824e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	4	3.3117981574796e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	5	3.32000284542439e-06	4096	Stats::LikeR	0.321
vector	min	min($x)	3000	6	3.34172113704295e-06	4096	Stats::LikeR	0.321
vector	max	max($x)	3000	0	3.32772731781006e-06	0	Stats::LikeR	0.321
vector	max	max($x)	3000	1	3.31282615661621e-06	0	Stats::LikeR	0.321
vector	max	max($x)	3000	2	3.33558945428757e-06	0	Stats::LikeR	0.321
