figure	function	call	n	run	seconds	bytes	version
vector	sum	np.sum(x)	1000	0	0.000002749	128	3.14.2
vector	sum	np.sum(x)	1000	1	0.000002419	128	3.14.2
vector	sum	np.sum(x)	1000	2	0.000002334	128	3.14.2
vector	sum	np.sum(x)	1000	3	0.000002489	128	3.14.2
vector	sum	np.sum(x)	1000	4	0.000002263	128	3.14.2
vector	sum	np.sum(x)	1000	5	0.000002232	128	3.14.2
vector	sum	np.sum(x)	1000	6	0.000002207	128	3.14.2
vector	min	np.min(x)	1000	0	0.000002099	128	3.14.2
vector	min	np.min(x)	1000	1	0.000001940	128	3.14.2
vector	min	np.min(x)	1000	2	0.000001895	128	3.14.2
vector	min	np.min(x)	1000	3	0.000001878	128	3.14.2
vector	min	np.min(x)	1000	4	0.000001818	128	3.14.2
vector	min	np.min(x)	1000	5	0.000001788	128	3.14.2
vector	min	np.min(x)	1000	6	0.000001780	128	3.14.2
vector	max	np.max(x)	1000	0	0.000001782	128	3.14.2
vector	max	np.max(x)	1000	1	0.000001747	128	3.14.2
vector	max	np.max(x)	1000	2	0.000001729	128	3.14.2
vector	max	np.max(x)	1000	3	0.000001717	128	3.14.2
vector	max	np.max(x)	1000	4	0.000001745	128	3.14.2
vector	max	np.max(x)	1000	5	0.000001745	128	3.14.2
vector	max	np.max(x)	1000	6	0.000001757	128	3.14.2
vector	mean	np.mean(x)	1000	0	0.000002687	152	3.14.2
vector	mean	np.mean(x)	1000	1	0.000002635	152	3.14.2
vector	mean	np.mean(x)	1000	2	0.000002675	152	3.14.2
vector	mean	np.mean(x)	1000	3	0.000002622	152	3.14.2
vector	mean	np.mean(x)	1000	4	0.000002680	152	3.14.2
vector	mean	np.mean(x)	1000	5	0.000002680	152	3.14.2
vector	mean	np.mean(x)	1000	6	0.000002645	152	3.14.2
vector	median	np.median(x)	1000	0	0.000012400	11272	3.14.2
vector	median	np.median(x)	1000	1	0.000011831	11272	3.14.2
vector	median	np.median(x)	1000	2	0.000011628	11272	3.14.2
vector	median	np.median(x)	1000	3	0.000011816	11272	3.14.2
vector	median	np.median(x)	1000	4	0.000011886	11272	3.14.2
vector	median	np.median(x)	1000	5	0.000011851	11272	3.14.2
vector	median	np.median(x)	1000	6	0.000011629	11272	3.14.2
vector	sd	np.std(x, ddof=1)	1000	0	0.000008821	9280	3.14.2
vector	sd	np.std(x, ddof=1)	1000	1	0.000008282	9280	3.14.2
vector	sd	np.std(x, ddof=1)	1000	2	0.000008347	9280	3.14.2
vector	sd	np.std(x, ddof=1)	1000	3	0.000008360	9280	3.14.2
vector	sd	np.std(x, ddof=1)	1000	4	0.000008386	9280	3.14.2
vector	sd	np.std(x, ddof=1)	1000	5	0.000008431	9280	3.14.2
vector	sd	np.std(x, ddof=1)	1000	6	0.000008331	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	0	0.000007832	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	1	0.000007828	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	2	0.000007773	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	3	0.000007764	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	4	0.000007725	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	5	0.000007758	9280	3.14.2
vector	var	np.var(x, ddof=1)	1000	6	0.000007806	9280	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	0	0.000033831	12384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	1	0.000031347	12384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	2	0.000030776	12384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	3	0.000030777	12384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	4	0.000032708	12384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	5	0.000030403	12384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	1000	6	0.000030368	12384	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	0	0.000027812	33528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	1	0.000024632	33528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	2	0.000024922	33528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	3	0.000024369	33528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	4	0.000024791	33528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	5	0.000024626	33528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	1000	6	0.000024536	33528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	1000	0	0.000017867	33528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	1000	1	0.000017801	33528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	1000	2	0.000017792	33528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	1000	3	0.000017849	33528	3.14.2
