figure	function	call	n	run	seconds	bytes
vector	sum	sum(x)	1000	0	6.31809234619141e-06	116628.800000004
vector	sum	sum(x)	1000	1	4.05311584472656e-06	116628.800000004
vector	sum	sum(x)	1000	2	2.86102294921875e-06	116628.800000004
vector	sum	sum(x)	1000	3	2.62260437011719e-06	116628.800000004
vector	sum	sum(x)	1000	4	2.50339508056641e-06	116628.800000004
vector	sum	sum(x)	1000	5	2.62260437011719e-06	116628.800000004
vector	sum	sum(x)	1000	6	5.7220458984375e-06	116628.800000004
vector	min	min(x)	1000	0	7.2320302327474e-06	187568
vector	min	min(x)	1000	1	3.49680582682292e-06	187568
vector	min	min(x)	1000	2	2.86102294921875e-06	187568
vector	min	min(x)	1000	3	2.62260437011719e-06	187568
vector	min	min(x)	1000	4	2.54313151041667e-06	187568
vector	min	min(x)	1000	5	2.54313151041667e-06	187568
vector	min	min(x)	1000	6	2.62260437011719e-06	187568
vector	max	max(x)	1000	0	6.03993733723958e-06	179040
vector	max	max(x)	1000	1	3.17891438802083e-06	179040
vector	max	max(x)	1000	2	2.94049580891927e-06	179040
vector	max	max(x)	1000	3	2.70207722981771e-06	179040
vector	max	max(x)	1000	4	2.46365865071615e-06	179040
vector	max	max(x)	1000	5	2.38418579101562e-06	179040
vector	max	max(x)	1000	6	2.38418579101562e-06	179040
vector	mean	mean(x)	1000	0	1.27156575520833e-05	155808
vector	mean	mean(x)	1000	1	6.35782877604167e-06	155808
vector	mean	mean(x)	1000	2	5.40415445963542e-06	155808
vector	mean	mean(x)	1000	3	5.24520874023438e-06	155808
vector	mean	mean(x)	1000	4	5.24520874023438e-06	155808
vector	mean	mean(x)	1000	5	5.40415445963542e-06	155808
vector	mean	mean(x)	1000	6	5.08626302083333e-06	155808
vector	median	median(x)	1000	0	6.5922737121582e-05	134144
vector	median	median(x)	1000	1	3.7074089050293e-05	134144
vector	median	median(x)	1000	2	2.86102294921875e-05	134144
vector	median	median(x)	1000	3	2.7775764465332e-05	134144
vector	median	median(x)	1000	4	3.07559967041016e-05	134144
vector	median	median(x)	1000	5	2.50339508056641e-05	134144
vector	median	median(x)	1000	6	2.51531600952148e-05	134144
vector	sd	sd(x)	1000	0	1.83582305908203e-05	124784
vector	sd	sd(x)	1000	1	1.07288360595703e-05	124784
vector	sd	sd(x)	1000	2	9.5367431640625e-06	124784
vector	sd	sd(x)	1000	3	9.77516174316406e-06	124784
vector	sd	sd(x)	1000	4	9.05990600585938e-06	124784
vector	sd	sd(x)	1000	5	9.21885172526042e-06	124784
vector	sd	sd(x)	1000	6	8.98043314615885e-06	124784
vector	var	var(x)	1000	0	2.39213307698568e-05	117696
vector	var	var(x)	1000	1	1.37488047281901e-05	117696
vector	var	var(x)	1000	2	1.07288360595703e-05	117696
vector	var	var(x)	1000	3	1.18414560953776e-05	117696
vector	var	var(x)	1000	4	9.9341074625651e-06	117696
vector	var	var(x)	1000	5	1.02519989013672e-05	117696
vector	var	var(x)	1000	6	1.16825103759766e-05	117696
vector	quantile	quantile(x, c(.25,.5,.75))	1000	0	0.00017082691192627	224910.399999999
vector	quantile	quantile(x, c(.25,.5,.75))	1000	1	0.000119686126708984	224910.399999999
vector	quantile	quantile(x, c(.25,.5,.75))	1000	2	9.6440315246582e-05	224910.399999999
vector	quantile	quantile(x, c(.25,.5,.75))	1000	3	0.000106453895568848	224910.399999999
vector	quantile	quantile(x, c(.25,.5,.75))	1000	4	9.40561294555664e-05	224910.399999999
vector	quantile	quantile(x, c(.25,.5,.75))	1000	5	8.60691070556641e-05	224910.399999999
vector	quantile	quantile(x, c(.25,.5,.75))	1000	6	0.000105023384094238	224910.399999999
vector	cor	cor(x, y)	1000	0	4.0888786315918e-05	135086.399999999
vector	cor	cor(x, y)	1000	1	2.24113464355469e-05	135086.399999999
vector	cor	cor(x, y)	1000	2	1.96695327758789e-05	135086.399999999
vector	cor	cor(x, y)	1000	3	1.97887420654297e-05	135086.399999999
vector	cor	cor(x, y)	1000	4	1.88350677490234e-05	135086.399999999
vector	cor	cor(x, y)	1000	5	1.93119049072266e-05	135086.399999999
vector	cor	cor(x, y)	1000	6	1.87158584594727e-05	135086.399999999
vector	cov	cov(x, y)	1000	0	5.03063201904297e-05	127510.399999999
vector	cov	cov(x, y)	1000	1	2.71797180175781e-05	127510.399999999
vector	cov	cov(x, y)	1000	2	2.21729278564453e-05	127510.399999999
vector	cov	cov(x, y)	1000	3	2.00271606445312e-05	127510.399999999
vector	cov	cov(x, y)	1000	4	2.95639038085938e-05	127510.399999999
vector	cov	cov(x, y)	1000	5	2.13384628295898e-05	127510.399999999
vector	cov	cov(x, y)	1000	6	1.96695327758789e-05	127510.399999999
vector	sum	sum(x)	3000	0	3.20304750772047e-06	80678.3999999985
vector	sum	sum(x)	3000	1	3.11691723568901e-06	80678.3999999985
vector	sum	sum(x)	3000	2	3.53009288847759e-06	80678.3999999985
vector	sum	sum(x)	3000	3	3.12066203012516e-06	80678.3999999985
vector	sum	sum(x)	3000	4	3.05200746546241e-06	80678.3999999985
vector	sum	sum(x)	3000	5	2.99333901929606e-06	80678.3999999985
vector	sum	sum(x)	3000	6	2.93342230831765e-06	80678.3999999985
vector	min	min(x)	3000	0	4.26354195907531e-06	76350.3999999985
vector	min	min(x)	3000	1	4.0328454392159e-06	76350.3999999985
vector	min	min(x)	3000	2	3.89481363026237e-06	76350.3999999985
vector	min	min(x)	3000	3	3.78380902865638e-06	76350.3999999985
vector	min	min(x)	3000	4	3.69693586218212e-06	76350.3999999985
vector	min	min(x)	3000	5	3.72975461396129e-06	76350.3999999985
vector	min	min(x)	3000	6	3.71141472326117e-06	76350.3999999985
vector	max	max(x)	3000	0	4.03182847159249e-06	72046.3999999985
vector	max	max(x)	3000	1	3.94667897905622e-06	72046.3999999985
vector	max	max(x)	3000	2	3.79340989249093e-06	72046.3999999985
vector	max	max(x)	3000	3	3.83853912353516e-06	72046.3999999985
vector	max	max(x)	3000	4	3.73550823756627e-06	72046.3999999985
vector	max	max(x)	3000	5	3.68952751159668e-06	72046.3999999985
vector	max	max(x)	3000	6	3.67845807756696e-06	72046.3999999985
vector	mean	mean(x)	3000	0	7.72301439215375e-06	67702.3999999985
vector	mean	mean(x)	3000	1	7.45588572237504e-06	67702.3999999985
vector	mean	mean(x)	3000	2	7.13508166567817e-06	67702.3999999985
vector	mean	mean(x)	3000	3	7.07890974913592e-06	67702.3999999985
vector	mean	mean(x)	3000	4	7.03522048071417e-06	67702.3999999985
