figure	function	language	quantity	sizes	slope.all	slope.tail
vector	sum	Stats::LikeR	seconds	7	1.062	1.247
vector	sum	List::Util	seconds	7	1.025	1.066
vector	sum	Python	seconds	7	0.679	1.013
vector	sum	R	seconds	7	0.846	0.991
vector	min	Stats::LikeR	seconds	7	1.027	1.156
vector	min	List::Util	seconds	7	0.995	1.093
vector	min	Python	seconds	7	0.667	1.003
vector	min	R	seconds	7	0.891	1.015
vector	max	Stats::LikeR	seconds	7	1.027	1.154
vector	max	List::Util	seconds	7	1.023	1.102
vector	max	Python	seconds	7	0.675	1.003
vector	max	R	seconds	7	0.898	1.010
vector	mean	Stats::LikeR	seconds	7	1.067	1.243
vector	mean	Python	seconds	7	0.647	0.996
vector	mean	R	seconds	7	0.851	0.999
vector	median	Stats::LikeR	seconds	7	1.140	1.036
vector	median	Python	seconds	7	1.017	0.988
vector	median	R	seconds	7	0.960	0.985
vector	sd	Stats::LikeR	seconds	7	1.061	1.225
vector	sd	Python	seconds	7	0.716	1.034
vector	sd	R	seconds	7	0.854	1.018
vector	var	Stats::LikeR	seconds	7	1.058	1.198
vector	var	Python	seconds	7	0.730	1.050
vector	var	R	seconds	7	0.827	0.990
vector	quantile	Stats::LikeR	seconds	7	1.146	0.959
vector	quantile	Python	seconds	7	0.901	1.045
vector	quantile	R	seconds	7	0.812	0.936
vector	cor	Stats::LikeR	seconds	7	1.171	1.127
vector	cor	Python	seconds	7	0.779	1.117
vector	cor	R	seconds	7	0.859	0.991
vector	cov	Stats::LikeR	seconds	7	1.157	1.115
vector	cov	Python	seconds	7	0.832	1.133
vector	cov	R	seconds	7	0.805	0.998
vector	skew	Stats::LikeR	seconds	7	0.997	1.001
vector	skew	Python	seconds	7	0.597	0.955
vector	kurtosis	Stats::LikeR	seconds	7	0.998	1.000
vector	kurtosis	Python	seconds	7	0.594	0.951
transform	rank	Stats::LikeR	seconds	7	1.145	1.091
transform	rank	Python	seconds	7	1.067	1.142
transform	rank	R	seconds	7	1.155	1.235
transform	uniq	Stats::LikeR	seconds	7	1.112	1.225
transform	uniq	Python	seconds	7	1.031	1.115
transform	uniq	R	seconds	7	1.125	1.196
transform	scale	Stats::LikeR	seconds	7	1.037	1.103
transform	scale	Python	seconds	7	0.487	0.916
transform	scale	R	seconds	7	0.877	0.954
transform	sample	Stats::LikeR	seconds	7	1.163	1.526
transform	sample	Python	seconds	7	0.586	0.965
transform	sample	R	seconds	7	0.944	1.142
transform	seq	Stats::LikeR	seconds	7	1.035	1.131
transform	seq	Python	seconds	7	0.859	0.996
transform	seq	R	seconds	7	-0.053	0.017
transform	auc	Stats::LikeR	seconds	7	1.137	1.104
transform	auc	Python	seconds	7	0.821	1.076
transform	auc	R	seconds	7	0.949	1.115
io	read_table (csv, numeric)	Stats::LikeR	seconds	6	1.019	1.096
io	read_table (csv, numeric)	Python	seconds	6	0.811	0.969
io	read_table (csv, numeric)	R	seconds	6	1.140	1.428
io	read_table (csv, mixed)	Stats::LikeR	seconds	6	1.024	1.089
io	read_table (csv, mixed)	Python	seconds	6	1.027	1.005
io	read_table (csv, mixed)	R	seconds	6	1.074	1.197
io	read_table (tsv, mixed)	Stats::LikeR	seconds	6	1.021	1.092
io	read_table (tsv, mixed)	Python	seconds	6	1.030	1.022
io	read_table (tsv, mixed)	R	seconds	6	1.066	1.254
io	read_table (csv, hoa)	Stats::LikeR	seconds	6	1.120	1.333
io	read_table (csv, hoa)	Python	seconds	6	0.823	0.988
io	read_table (csv, hoa)	R	seconds	6	1.066	1.253
io	read_table (xlsx)	Stats::LikeR	seconds	6	0.983	1.048
io	read_table (xlsx)	Python	seconds	6	0.997	1.013
io	read_table (xlsx)	R	seconds	6	0.886	0.991
io	write_table (csv, hoa)	Stats::LikeR	seconds	6	0.933	1.017
io	write_table (csv, hoa)	Python	seconds	6	0.970	1.011
io	write_table (csv, hoa)	R	seconds	6	0.970	0.988
io	write_table (tsv, hoa)	Stats::LikeR	seconds	6	0.967	1.039
io	write_table (tsv, hoa)	Python	seconds	6	0.972	1.007
io	write_table (tsv, hoa)	R	seconds	6	0.970	1.004
io	write_table (csv, aoa)	Stats::LikeR	seconds	6	0.980	1.004
io	write_table (csv, aoa)	Python	seconds	6	0.975	1.010
io	write_table (csv, aoa)	R	seconds	6	0.970	0.998
io	write_table (csv, row.names)	Stats::LikeR	seconds	6	0.989	1.017
io	write_table (csv, row.names)	Python	seconds	6	0.980	1.013
io	write_table (csv, row.names)	R	seconds	6	0.974	0.998
io	write_table (xlsx, hoa)	Stats::LikeR	seconds	6	1.049	1.043
io	write_table (xlsx, hoa)	Python	seconds	6	1.003	1.015
frame	filter	Stats::LikeR	seconds	6	1.053	0.887
frame	filter	Python	seconds	6	0.367	0.782
frame	filter	R	seconds	6	1.026	0.979
frame	select_cols	Stats::LikeR	seconds	6	-0.022	-0.011
frame	select_cols	Python	seconds	6	-0.000	0.012
frame	select_cols	R	seconds	6	-0.082	-0.010
frame	group_by + mean	Stats::LikeR	seconds	6	0.971	1.070
frame	group_by + mean	Python	seconds	6	0.540	0.845
frame	group_by + mean	R	seconds	6	0.180	0.414
frame	merge	Stats::LikeR	seconds	6	1.043	0.861
frame	merge	Python	seconds	6	0.026	0.051
frame	merge	R	seconds	6	1.058	1.020
frame	value_counts	Stats::LikeR	seconds	6	0.989	1.047
frame	value_counts	Python	seconds	6	0.531	0.839
frame	value_counts	R	seconds	6	0.829	0.987
frame	drop_duplicates	Stats::LikeR	seconds	6	1.098	1.121
frame	drop_duplicates	Python	seconds	6	0.683	1.026
frame	drop_duplicates	R	seconds	6	1.096	1.106
frame	transpose	Stats::LikeR	seconds	6	1.083	0.975
frame	transpose	Python	seconds	6	1.067	1.176
frame	transpose	R	seconds	6	0.899	0.965
frame	aoh2hoa	Stats::LikeR	seconds	6	0.923	0.749
