"satellites","width","color","colorn"
8,28.3,"medium",2
4,26,"darkmedium",3
0,25.6,"darkmedium",3
0,21,"dark",4
1,29,"medium",2
3,25,"lightmedium",1
0,26.2,"dark",4
0,24.9,"medium",2
8,25.7,"medium",2
6,27.5,"medium",2
5,26.1,"lightmedium",1
4,28.9,"darkmedium",3
3,30.3,"medium",2
4,22.9,"medium",2
3,26.2,"darkmedium",3
5,24.5,"darkmedium",3
8,30,"medium",2
3,26.2,"medium",2
6,25.4,"medium",2
4,25.4,"medium",2
0,27.5,"dark",4
3,27,"dark",4
0,24,"medium",2
0,28.7,"medium",2
1,26.5,"darkmedium",3
1,24.5,"medium",2
1,27.3,"darkmedium",3
4,26.5,"medium",2
2,25,"medium",2
0,22,"darkmedium",3
2,30.2,"lightmedium",1
0,25.4,"medium",2
6,24.9,"medium",2
10,25.8,"dark",4
5,27.2,"darkmedium",3
3,30.5,"medium",2
8,25,"dark",4
9,30,"medium",2
0,22.9,"medium",2
2,23.9,"medium",2
3,26,"medium",2
0,25.8,"medium",2
4,29,"darkmedium",3
0,26.5,"lightmedium",1
0,22.5,"darkmedium",3
0,23.8,"medium",2
0,24.3,"darkmedium",3
14,26,"medium",2
0,24.7,"dark",4
1,22.5,"medium",2
3,28.7,"medium",2
4,29.3,"lightmedium",1
5,26.7,"medium",2
0,23.4,"dark",4
6,27.7,"lightmedium",1
6,28.2,"medium",2
5,24.7,"dark",4
5,25.7,"medium",2
0,27.8,"medium",2
3,27,"darkmedium",3
10,29,"medium",2
7,25.6,"darkmedium",3
0,24.2,"darkmedium",3
0,25.7,"darkmedium",3
0,23.1,"darkmedium",3
0,28.5,"medium",2
5,29.7,"medium",2
0,23.1,"darkmedium",3
1,24.5,"darkmedium",3
1,27.5,"medium",2
1,26.3,"medium",2
3,27.8,"medium",2
2,31.9,"medium",2
5,25,"medium",2
0,26.2,"darkmedium",3
3,28.4,"darkmedium",3
6,24.5,"lightmedium",1
7,27.9,"medium",2
6,25,"medium",2
3,29,"darkmedium",3
4,31.7,"medium",2
4,27.6,"medium",2
0,24.5,"dark",4
0,23.8,"darkmedium",3
8,28.2,"medium",2
0,24.1,"darkmedium",3
0,28,"lightmedium",1
9,26,"lightmedium",1
0,24.7,"darkmedium",3
0,25.8,"medium",2
8,27.1,"lightmedium",1
5,27.4,"medium",2
2,26.7,"darkmedium",3
5,26.8,"medium",2
0,25.8,"lightmedium",1
0,23.7,"dark",4
6,27.9,"medium",2
5,30,"medium",2
4,25,"medium",2
5,27.7,"medium",2
15,28.3,"medium",2
0,25.5,"dark",4
5,26,"medium",2
0,26.2,"medium",2
1,23,"darkmedium",3
0,22.9,"medium",2
5,25.1,"medium",2
4,25.9,"darkmedium",3
0,25.5,"dark",4
0,26.8,"medium",2
1,29,"medium",2
1,28.5,"darkmedium",3
4,24.7,"medium",2
1,29,"medium",2
6,27,"medium",2
0,23.7,"dark",4
6,27,"darkmedium",3
2,24.2,"medium",2
4,22.5,"dark",4
0,25.1,"medium",2
0,24.9,"medium",2
6,27.5,"medium",2
0,24.3,"medium",2
4,29.5,"medium",2
0,26.2,"medium",2
4,24.7,"medium",2
4,29.8,"darkmedium",3
0,25.7,"dark",4
2,26.2,"darkmedium",3
0,27,"dark",4
0,24.8,"darkmedium",3
0,23.7,"medium",2
11,28.2,"medium",2
1,25.2,"medium",2
4,23.2,"medium",2
3,25.8,"dark",4
0,27.5,"dark",4
0,25.7,"medium",2
0,26.8,"medium",2
3,27.5,"darkmedium",3
9,28.5,"darkmedium",3
3,28.5,"medium",2
6,27.4,"lightmedium",1
3,27.2,"medium",2
0,27.1,"darkmedium",3
1,28,"medium",2
0,26.5,"medium",2
0,23,"darkmedium",3
3,26,"darkmedium",3
0,24.5,"darkmedium",3
0,25.8,"medium",2
0,23.5,"dark",4
0,26.7,"dark",4
0,25.5,"darkmedium",3
1,28.2,"medium",2
1,25.2,"medium",2
2,25.3,"medium",2
0,25.7,"darkmedium",3
12,29.3,"dark",4
6,23.8,"darkmedium",3
3,27.4,"medium",2
2,26.2,"medium",2
4,28,"medium",2
5,28.4,"medium",2
7,33.5,"medium",2
0,25.8,"medium",2
10,24,"darkmedium",3
0,23.1,"medium",2
0,28.3,"medium",2
4,26.5,"medium",2
7,26.5,"medium",2
3,26.1,"darkmedium",3
0,24.5,"medium",2
