"strength","batch","cask"
62.8,"A","a"
62.6,"A","a"
60.1,"A","b"
62.3,"A","b"
62.7,"A","c"
63.1,"A","c"
60,"B","a"
61.4,"B","a"
57.5,"B","b"
56.9,"B","b"
61.1,"B","c"
58.9,"B","c"
58.7,"C","a"
57.5,"C","a"
63.9,"C","b"
63.1,"C","b"
65.4,"C","c"
63.7,"C","c"
57.1,"D","a"
56.4,"D","a"
56.9,"D","b"
58.6,"D","b"
64.7,"D","c"
64.5,"D","c"
55.1,"E","a"
55.1,"E","a"
54.7,"E","b"
54.2,"E","b"
58.8,"E","c"
57.5,"E","c"
63.4,"F","a"
64.9,"F","a"
59.3,"F","b"
58.1,"F","b"
60.5,"F","c"
60,"F","c"
62.5,"G","a"
62.6,"G","a"
61,"G","b"
58.7,"G","b"
56.9,"G","c"
57.7,"G","c"
59.2,"H","a"
59.4,"H","a"
65.2,"H","b"
66,"H","b"
64.8,"H","c"
64.1,"H","c"
54.8,"I","a"
54.8,"I","a"
64,"I","b"
64,"I","b"
57.7,"I","c"
56.8,"I","c"
58.3,"J","a"
59.3,"J","a"
59.2,"J","b"
59.2,"J","b"
58.9,"J","c"
56.6,"J","c"
