"wage","education","experience","ethnicity","smsa","south","age","nearcollege"
548,7,16,"afam","yes","no",29,"no"
481,12,9,"other","yes","no",27,"no"
721,12,16,"other","yes","no",34,"no"
250,11,10,"other","yes","no",27,"yes"
729,12,16,"other","yes","no",34,"yes"
500,12,8,"other","yes","no",26,"yes"
565,18,9,"other","yes","no",33,"yes"
608,14,9,"other","yes","no",29,"yes"
425,12,10,"other","yes","no",28,"yes"
515,12,11,"other","yes","no",29,"yes"
225,9,13,"other","yes","no",28,"yes"
400,12,8,"other","yes","no",26,"yes"
417,11,7,"other","yes","no",24,"yes"
217,11,13,"other","yes","no",30,"yes"
894,16,9,"afam","yes","no",31,"yes"
300,14,4,"other","yes","no",24,"yes"
346,12,16,"other","yes","no",34,"yes"
658,14,9,"other","yes","no",29,"yes"
575,10,10,"other","yes","no",26,"yes"
649,12,14,"other","yes","no",32,"yes"
944,18,8,"other","yes","yes",32,"yes"
614,18,10,"other","yes","no",34,"yes"
726,15,11,"other","no","no",32,"yes"
604,12,10,"other","yes","no",28,"yes"
693,12,14,"other","yes","no",32,"yes"
1400,18,10,"other","no","no",34,"yes"
300,12,8,"other","yes","no",26,"yes"
1800,18,8,"other","yes","no",32,"yes"
413,12,7,"other","yes","no",25,"yes"
632,14,9,"other","no","no",29,"yes"
208,12,7,"other","yes","no",25,"yes"
457,12,7,"afam","yes","no",25,"yes"
824,16,2,"other","yes","no",24,"yes"
577,18,10,"other","yes","no",34,"yes"
255,11,11,"other","yes","no",28,"yes"
962,16,8,"other","yes","no",30,"yes"
944,10,15,"other","yes","no",31,"yes"
1146,18,10,"other","yes","no",34,"yes"
324,6,15,"other","yes","no",27,"yes"
235,11,7,"afam","yes","no",24,"yes"
1000,12,16,"other","yes","no",34,"yes"
481,9,11,"other","yes","no",26,"yes"
624,15,11,"other","yes","no",32,"yes"
650,11,17,"other","yes","no",34,"yes"
344,12,6,"afam","yes","no",24,"yes"
380,16,2,"other","yes","yes",24,"yes"
353,12,6,"other","yes","no",24,"yes"
659,13,6,"other","yes","no",25,"yes"
621,17,5,"other","yes","no",28,"yes"
440,12,7,"other","yes","no",25,"yes"
738,12,8,"afam","yes","no",26,"yes"
280,11,14,"afam","no","yes",31,"yes"
434,10,8,"other","yes","no",24,"yes"
705,12,9,"other","yes","no",27,"yes"
425,12,9,"other","yes","no",27,"yes"
571,12,6,"other","yes","no",24,"yes"
538,16,8,"other","yes","no",30,"yes"
740,16,10,"other","yes","no",32,"yes"
673,13,13,"other","yes","no",32,"yes"
769,12,16,"other","yes","no",34,"yes"
592,12,6,"other","yes","no",24,"yes"
213,9,9,"afam","yes","no",24,"yes"
1563,16,12,"other","yes","no",34,"yes"
774,16,6,"other","yes","no",28,"yes"
600,12,8,"other","yes","yes",26,"yes"
693,18,0,"other","yes","no",24,"yes"
570,13,12,"other","yes","no",31,"yes"
433,14,8,"other","yes","no",28,"yes"
538,15,7,"other","yes","no",28,"yes"
627,12,7,"other","yes","no",25,"yes"
481,8,17,"other","yes","no",31,"yes"
545,12,8,"other","yes","no",26,"yes"
576,12,7,"other","yes","no",25,"yes"
700,16,3,"other","yes","no",25,"yes"
788,16,6,"other","yes","no",28,"yes"
1012,17,4,"other","yes","no",27,"yes"
758,12,6,"other","yes","no",24,"yes"
601,14,9,"other","yes","no",29,"yes"
283,12,6,"other","yes","no",24,"yes"
250,12,6,"other","yes","no",24,"yes"
500,12,8,"other","yes","no",26,"yes"
550,11,14,"other","yes","no",31,"yes"
1143,12,7,"other","yes","no",25,"yes"
810,18,7,"other","yes","yes",31,"yes"
313,12,10,"afam","yes","no",28,"yes"
731,18,1,"other","yes","no",25,"yes"
625,16,3,"other","yes","no",25,"yes"
588,14,4,"other","yes","no",24,"yes"
375,14,6,"other","yes","no",26,"yes"
817,16,7,"other","yes","yes",29,"yes"
865,14,10,"other","yes","no",30,"yes"
350,15,7,"other","yes","yes",28,"yes"
202,13,5,"other","yes","yes",24,"yes"
505,13,13,"other","yes","yes",32,"yes"
816,17,7,"other","yes","no",30,"yes"
625,18,2,"other","yes","no",26,"yes"
769,18,8,"other","yes","no",32,"yes"
500,17,4,"other","yes","no",27,"yes"
619,17,4,"other","yes","no",27,"yes"
650,12,12,"other","yes","no",30,"yes"
769,18,4,"other","yes","no",28,"yes"
512,12,8,"other","yes","no",26,"yes"
625,18,7,"other","yes","no",31,"yes"
1111,14,11,"other","yes","no",31,"yes"
721,13,9,"other","yes","no",28,"yes"
1154,14,12,"other","yes","no",32,"yes"
827,18,10,"other","no","no",34,"yes"
923,16,12,"other","yes","no",34,"yes"
1076,17,5,"other","yes","no",28,"yes"
625,12,15,"other","yes","no",33,"yes"
460,13,8,"other","yes","no",27,"yes"
900,14,4,"afam","yes","no",24,"yes"
682,18,5,"other","yes","no",29,"yes"
411,12,6,"other","yes","no",24,"yes"
625,13,8,"other","yes","no",27,"yes"
1005,18,8,"other","yes","no",32,"yes"
725,11,7,"other","yes","no",24,"yes"
750,15,6,"other","yes","no",27,"yes"
529,14,9,"other","yes","no",29,"yes"
972,17,6,"other","yes","no",29,"yes"
472,12,8,"other","no","no",26,"yes"
325,12,6,"other","yes","no",24,"yes"
875,12,16,"other","yes","no",34,"yes"
625,13,15,"other","yes","no",34,"yes"
337,12,8,"other","yes","no",26,"yes"
481,16,5,"other","yes","no",27,"yes"
650,9,14,"other","yes","no",29,"yes"
383,16,3,"other","yes","no",25,"yes"
962,18,6,"other","yes","no",30,"yes"
615,16,7,"other","no","no",29,"yes"
702,14,8,"other","yes","no",28,"yes"
635,14,11,"other","yes","no",31,"yes"
200,12,10,"other","yes","no",28,"yes"
817,12,9,"other","yes","no",27,"yes"
577,14,6,"other","yes","no",26,"yes"
466,17,3,"other","yes","no",26,"yes"
924,16,7,"other","yes","no",29,"yes"
793,16,9,"other","yes","yes",31,"yes"
635,14,8,"other","yes","no",28,"yes"
570,12,7,"other","yes","no",25,"yes"
705,16,7,"other","yes","no",29,"yes"
635,14,8,"other","yes","no",28,"yes"
694,12,12,"other","yes","no",30,"yes"
615,13,15,"other","yes","no",34,"yes"
462,16,4,"other","yes","no",26,"yes"
865,12,16,"other","yes","no",34,"yes"
737,18,9,"other","yes","yes",33,"yes"
1400,12,7,"other","yes","no",25,"yes"
808,12,13,"other","yes","no",31,"yes"
654,16,4,"other","yes","no",26,"yes"
300,12,7,"other","yes","no",25,"yes"
577,16,8,"other","yes","no",30,"yes"
265,16,2,"other","yes","no",24,"yes"
594,18,7,"other","no","no",31,"yes"
325,17,3,"other","yes","no",26,"yes"
385,16,2,"other","no","no",24,"yes"
1000,18,1,"other","yes","no",25,"yes"
465,18,4,"other","yes","no",28,"yes"
440,16,6,"other","yes","no",28,"yes"
625,16,5,"other","yes","no",27,"yes"
285,17,4,"other","yes","no",27,"yes"
650,14,7,"other","yes","no",27,"yes"
808,13,6,"other","yes","no",25,"yes"
500,12,6,"other","yes","no",24,"yes"
831,16,4,"other","yes","no",26,"yes"
500,12,13,"other","yes","no",31,"yes"
693,17,9,"other","yes","no",32,"yes"
1100,12,9,"other","yes","no",27,"yes"
763,12,7,"other","yes","no",25,"yes"
795,12,9,"other","yes","no",27,"yes"
333,16,3,"other","yes","no",25,"yes"
409,18,6,"other","yes","no",30,"yes"
865,16,5,"other","yes","no",27,"yes"
888,12,13,"other","yes","no",31,"yes"
673,12,16,"other","yes","no",34,"yes"
700,12,15,"other","no","no",33,"yes"
250,18,9,"other","yes","yes",33,"yes"
625,11,10,"other","yes","no",27,"yes"
417,13,12,"other","yes","no",31,"yes"
576,13,9,"other","yes","no",28,"yes"
613,12,8,"afam","yes","no",26,"yes"
700,12,13,"other","yes","no",31,"yes"
450,12,6,"other","yes","no",24,"yes"
500,16,6,"other","yes","no",28,"yes"
514,12,7,"other","no","no",25,"yes"
250,16,3,"other","yes","no",25,"yes"
315,12,6,"other","no","no",24,"yes"
375,12,11,"other","yes","no",29,"yes"
457,15,13,"other","no","no",34,"yes"
275,12,9,"afam","yes","no",27,"yes"
951,12,10,"other","yes","no",28,"yes"
1115,16,10,"other","yes","no",32,"yes"
289,16,3,"other","no","no",25,"yes"
500,16,3,"other","yes","no",25,"yes"
726,18,8,"other","yes","no",32,"yes"
1265,18,5,"other","yes","no",29,"yes"
613,17,3,"afam","yes","no",26,"yes"
545,12,10,"other","yes","no",28,"yes"
