"snum","dnum","stype","pw","fpc","api00","api99","ell","meals","mobility","enroll","api.stu","acs.k3","comp.imp","sch.wide"
236,637,"H",33.846996307373,757,608,562,22,19,15,1689,1358,NA,"Yes",1
237,637,"E",33.846996307373,757,684,554,23,39,23,288,223,19,"Yes",1
238,637,"E",33.846996307373,757,612,528,27,39,25,294,220,21,"Yes",1
239,637,"E",33.846996307373,757,710,669,17,23,39,143,110,19,"No",1
240,637,"E",33.846996307373,757,729,660,27,43,23,307,239,22,"Yes",1
241,637,"E",33.846996307373,757,714,673,24,36,17,311,265,21,"Yes",1
242,637,"E",33.846996307373,757,759,693,10,17,14,362,309,21,"Yes",1
243,637,"E",33.846996307373,757,585,567,33,43,18,263,224,21,"No",1
244,637,"E",33.846996307373,757,625,576,36,48,17,583,469,21,"Yes",1
245,637,"M",33.846996307373,757,664,598,21,28,16,886,705,NA,"Yes",1
246,637,"M",33.846996307373,757,669,619,26,37,18,955,773,NA,"Yes",1
754,437,"H",33.846996307373,757,443,414,52,84,98,418,358,NA,"Yes",1
755,437,"E",33.846996307373,757,467,420,70,96,12,574,439,18,"Yes",1
756,437,"M",33.846996307373,757,482,404,73,98,2,286,260,NA,"Yes",1
757,437,"E",33.846996307373,757,496,365,72,98,9,158,127,20,"Yes",1
1023,778,"M",33.846996307373,757,411,408,42,97,18,372,291,NA,"No",0
1024,778,"E",33.846996307373,757,494,404,53,97,18,308,241,18,"Yes",1
1300,197,"E",33.846996307373,757,493,469,38,61,17,358,294,17,"Yes",1
1301,197,"M",33.846996307373,757,592,601,25,35,9,921,801,NA,"No",0
1302,197,"E",33.846996307373,757,550,464,67,84,15,375,297,18,"Yes",1
1303,197,"M",33.846996307373,757,689,679,12,17,10,962,845,NA,"No",1
1304,197,"M",33.846996307373,757,598,594,14,30,15,954,803,NA,"No",0
1305,197,"E",33.846996307373,757,628,560,29,53,17,370,310,18,"Yes",1
1306,197,"E",33.846996307373,757,652,608,29,50,18,596,504,19,"Yes",1
1307,197,"E",33.846996307373,757,628,565,25,50,13,485,423,18,"Yes",1
1308,197,"E",33.846996307373,757,832,779,4,6,15,254,203,18,"Yes",1
1309,197,"E",33.846996307373,757,777,739,2,9,16,465,404,19,"Yes",1
1310,197,"E",33.846996307373,757,709,645,8,23,14,481,427,18,"Yes",1
1311,197,"E",33.846996307373,757,709,716,13,23,13,425,368,18,"No",0
1312,197,"E",33.846996307373,757,736,710,4,15,17,312,256,18,"Yes",1
2093,406,"E",33.846996307373,757,561,508,39,87,10,360,314,17,"Yes",1
2094,406,"E",33.846996307373,757,555,496,22,78,13,323,296,17,"Yes",1
2649,815,"H",33.846996307373,757,696,706,3,29,9,442,350,NA,"No",0
2650,815,"M",33.846996307373,757,631,641,4,46,15,508,434,NA,"No",0
2651,815,"E",33.846996307373,757,564,545,8,55,11,166,136,18,"No",1
2652,815,"E",33.846996307373,757,602,587,4,52,19,525,453,20,"No",1
2714,178,"H",33.846996307373,757,529,469,28,72,99,388,359,NA,"Yes",1
2715,178,"E",33.846996307373,757,491,423,38,85,15,266,235,20,"Yes",1
2716,178,"E",33.846996307373,757,510,454,45,81,14,671,563,20,"Yes",1
2717,178,"M",33.846996307373,757,547,575,37,75,10,343,304,NA,"No",0
