"snum","dnum","pw","api00","ell","meals","mobility"
3269,15,18.925,821,0,27,14
5979,63,18.925,773,0,43,12
4958,83,18.925,600,5,33,9
4957,83,18.925,740,4,11,8
4956,83,18.925,716,2,5,6
4915,117,18.925,811,5,25,19
2548,132,18.925,472,38,78,13
2550,132,18.925,520,34,76,13
2549,132,18.925,568,34,68,15
348,152,18.925,591,23,42,4
349,152,18.925,544,42,63,15
350,152,18.925,612,24,54,15
4331,173,18.925,926,3,0,24
4329,173,18.925,890,6,4,19
4330,173,18.925,903,2,1,14
4328,173,18.925,901,1,6,14
938,176,18.925,453,37,47,7
1299,198,18.925,569,14,59,94
1296,198,18.925,545,31,69,27
1298,198,18.925,584,17,53,21
1297,198,18.925,601,14,55,21
841,200,41.635,622,66,94,22
843,200,41.635,610,43,58,7
837,200,41.635,622,56,96,24
840,200,41.635,783,26,96,24
835,200,41.635,612,52,97,19
943,228,18.925,536,37,85,25
942,228,18.925,524,23,86,29
5629,264,18.925,636,28,35,4
5725,295,18.925,666,28,32,24
5721,295,18.925,698,12,17,9
5724,295,18.925,713,17,26,13
5722,295,18.925,614,43,49,6
5723,295,18.925,701,16,38,20
4969,302,18.925,927,2,0,9
4970,302,18.925,934,2,0,10
4971,302,18.925,933,4,0,6
4972,302,18.925,903,0,0,5
5274,403,18.925,911,0,1,10
5275,403,18.925,889,1,2,11
5277,403,18.925,874,1,7,13
5278,403,18.925,861,0,3,100
5276,403,18.925,842,0,3,11
991,452,18.925,652,3,45,11
989,452,18.925,554,30,82,16
988,452,18.925,553,7,69,18
990,452,18.925,601,8,52,12
5548,456,18.925,607,0,64,25
3883,480,18.925,717,1,52,31
3881,480,18.925,646,3,58,26
3880,480,18.925,644,4,35,6
3879,480,18.925,631,2,24,31
3882,480,18.925,690,18,47,15
320,523,18.925,622,11,38,7
321,523,18.925,566,9,39,6
3502,534,18.925,615,11,61,24
3503,534,18.925,596,3,53,21
3499,534,18.925,547,3,39,8
3500,534,18.925,541,21,82,19
3501,534,18.925,621,8,50,14
231,549,18.925,912,0,0,3
233,549,18.925,929,4,0,8
235,549,18.925,909,0,0,2
232,549,18.925,951,5,0,5
234,549,18.925,912,2,0,19
1066,552,18.925,759,4,16,13
1065,552,18.925,803,4,20,24
2262,570,136.26,660,10,20,11
2283,570,136.26,502,38,78,23
2259,570,136.26,479,55,78,13
2277,570,136.26,545,51,88,14
2294,570,136.26,478,64,93,38
2653,574,18.925,710,8,41,9
4429,575,105.98,769,12,34,12
4446,575,105.98,865,7,4,17
4430,575,105.98,808,28,37,13
4444,575,105.98,840,11,8,19
4434,575,105.98,840,8,16,7
5662,596,26.495,818,5,23,11
5664,596,26.495,821,4,21,17
5663,596,26.495,868,9,30,18
5661,596,26.495,892,0,5,13
5660,596,26.495,824,2,25,15
3779,620,272.52,580,53,100,24
3777,620,272.52,807,17,55,34
3783,620,272.52,537,46,85,26
3758,620,272.52,690,51,98,10
3761,620,272.52,489,55,99,20
254,638,52.99,641,15,30,18
248,638,52.99,542,12,24,13
247,638,52.99,645,7,13,9
251,638,52.99,543,33,52,19
258,638,52.99,486,33,57,25
5482,639,26.495,756,0,20,14
5480,639,26.495,795,3,17,14
5478,639,26.495,773,0,18,13
5479,639,26.495,772,2,17,11
5477,639,26.495,743,0,9,5
5688,674,18.925,794,1,15,11
5689,674,18.925,751,3,18,10
5072,679,18.925,631,21,9,9
5074,679,18.925,555,36,24,9
5075,679,18.925,608,28,5,9
5073,679,18.925,627,17,8,7
5542,687,18.925,772,0,27,53
5541,687,18.925,738,1,40,9
5540,687,18.925,670,1,14,9
802,701,18.925,673,3,66,19
801,701,18.925,711,7,58,18
2792,711,18.925,730,7,11,17
2791,711,18.925,711,1,12,11
5893,719,18.925,468,11,44,8
5787,731,34.065,766,2,28,16
5781,731,34.065,742,4,38,19
5782,731,34.065,776,4,20,12
5789,731,34.065,742,5,28,17
5784,731,34.065,626,13,52,26
5898,742,18.925,747,1,18,10
2371,768,18.925,620,33,74,8
2372,768,18.925,602,27,75,9
535,781,22.71,895,4,6,21
531,781,22.71,844,8,5,17
533,781,22.71,869,2,5,9
530,781,22.71,851,16,17,14
532,781,22.71,861,7,10,12
5552,795,18.925,653,4,62,17
