"snum","dnum","stype","pw","fpc","api00","api99","ell","meals","mobility","enroll","api.stu","acs.k3","comp.imp","sch.wide"
2077,401,"E",44.2099990844727,4421,840,816,25,33,11,276,241,20,"No",1
1622,401,"E",44.2099990844727,4421,516,476,77,98,26,841,631,19,"Yes",1
2236,541,"E",44.2099990844727,4421,531,544,23,64,17,441,415,20,"No",0
1921,401,"E",44.2099990844727,4421,501,457,63,83,13,298,288,17,"Yes",1
6140,460,"E",44.2099990844727,4421,720,659,17,26,31,354,319,20,"Yes",1
6077,689,"E",44.2099990844727,4421,805,780,0,7,12,330,315,19,"Yes",1
6071,689,"E",44.2099990844727,4421,778,787,2,9,10,385,363,19,"No",0
904,41,"E",44.2099990844727,4421,731,731,2,45,15,583,510,19,"No",0
4637,702,"E",44.2099990844727,4421,592,508,58,75,23,763,652,20,"Yes",1
4311,135,"E",44.2099990844727,4421,669,658,23,47,19,381,322,18,"No",1
4105,590,"M",20.3600006103516,1018,496,479,25,69,26,1293,1035,NA,"No",1
3607,767,"M",20.3600006103516,1018,505,499,10,60,22,1043,815,NA,"No",0
627,253,"H",15.1000003814697,755,467,460,43,66,16,2165,1850,NA,"No",0
215,507,"M",20.3600006103516,1018,409,406,26,54,44,739,658,NA,"No",0
3599,767,"H",15.1000003814697,755,522,532,7,35,18,1894,1451,NA,"No",0
1678,401,"E",44.2099990844727,4421,497,440,66,95,18,1112,931,19,"Yes",1
3015,259,"E",44.2099990844727,4421,638,572,73,75,12,515,447,22,"Yes",1
3491,531,"M",20.3600006103516,1018,609,564,20,47,8,1116,966,NA,"Yes",1
3237,316,"M",20.3600006103516,1018,867,816,16,6,17,739,585,NA,"Yes",1
725,515,"E",44.2099990844727,4421,534,478,39,93,20,262,192,18,"Yes",1
861,69,"E",44.2099990844727,4421,705,685,6,38,8,528,479,20,"Yes",1
5410,656,"M",20.3600006103516,1018,685,657,18,32,6,912,796,NA,"Yes",1
5319,501,"E",44.2099990844727,4421,761,739,6,24,15,278,266,19,"No",1
5947,233,"H",15.1000003814697,755,455,403,59,89,10,357,302,NA,"Yes",1
3999,238,"H",15.1000003814697,755,509,504,18,44,13,2552,2238,NA,"No",0
169,507,"E",44.2099990844727,4421,771,755,3,15,11,266,241,20,"No",1
1247,162,"H",15.1000003814697,755,681,673,3,18,12,1105,851,NA,"No",1
5706,160,"H",15.1000003814697,755,666,690,5,9,9,1586,1349,NA,"No",0
1777,401,"E",44.2099990844727,4421,751,687,7,35,9,256,222,16,"Yes",1
4398,351,"M",20.3600006103516,1018,647,642,23,60,18,1173,923,NA,"No",0
5481,639,"M",20.3600006103516,1018,745,707,1,13,6,539,494,NA,"Yes",1
2435,153,"E",44.2099990844727,4421,474,449,17,98,31,443,401,20,"No",1
1502,395,"E",44.2099990844727,4421,832,835,10,25,16,450,397,20,"No",1
636,253,"E",44.2099990844727,4421,559,525,27,78,20,553,509,18,"Yes",1
2231,541,"H",15.1000003814697,755,582,589,22,63,13,1527,1458,NA,"No",0
598,140,"E",44.2099990844727,4421,765,740,18,54,23,589,509,21,"Yes",1
573,569,"M",20.3600006103516,1018,694,679,0,21,17,363,306,NA,"Yes",1
375,324,"M",20.3600006103516,1018,676,641,14,24,17,475,402,NA,"Yes",1
1043,208,"H",15.1000003814697,755,641,620,0,23,9,331,285,NA,"No",1
5612,766,"E",44.2099990844727,4421,744,701,2,34,18,312,266,19,"No",1
5002,439,"M",20.3600006103516,1018,870,863,2,2,8,558,515,NA,"Yes",1
1149,40,"H",15.1000003814697,755,510,485,30,31,12,983,853,NA,"No",1
4446,575,"E",44.2099990844727,4421,865,858,7,4,17,474,397,19,"Yes",1
5237,196,"H",15.1000003814697,755,527,523,37,37,17,1423,780,NA,"No",0
3292,514,"E",44.2099990844727,4421,782,780,0,14,15,184,148,16,"Yes",1
2387,806,"E",44.2099990844727,4421,745,691,3,31,22,446,356,18,"Yes",1
4785,215,"H",15.1000003814697,755,681,665,4,20,4,682,645,NA,"No",1
4768,632,"M",20.3600006103516,1018,500,491,46,59,13,491,384,NA,"No",0
4787,215,"M",20.3600006103516,1018,679,677,13,31,9,715,643,NA,"No",0
3225,756,"E",44.2099990844727,4421,892,854,3,6,13,369,327,20,"Yes",1
354,550,"M",20.3600006103516,1018,552,475,42,66,15,179,143,NA,"Yes",1
5874,226,"E",44.2099990844727,4421,619,559,20,58,9,681,602,19,"Yes",1
5511,214,"E",44.2099990844727,4421,616,575,11,71,24,263,226,20,"Yes",1
1632,401,"E",44.2099990844727,4421,703,652,0,67,15,313,256,18,"Yes",1
4100,590,"E",44.2099990844727,4421,509,470,32,75,32,522,437,19,"Yes",1
6055,689,"H",15.1000003814697,755,724,670,8,15,10,1820,1607,NA,"Yes",1
4759,632,"M",20.3600006103516,1018,559,554,27,78,12,598,340,NA,"No",0
4565,630,"M",20.3600006103516,1018,650,621,27,64,22,1162,1077,NA,"Yes",1
2995,259,"E",44.2099990844727,4421,806,803,43,40,15,339,243,20,"No",1
4043,465,"E",44.2099990844727,4421,759,726,3,36,38,334,244,18,"Yes",1
5417,725,"E",44.2099990844727,4421,740,703,37,42,21,323,257,19,"Yes",1
2457,284,"E",44.2099990844727,4421,642,579,22,69,21,655,622,21,"Yes",1
2428,153,"E",44.2099990844727,4421,565,526,35,99,18,388,299,20,"No",1
3001,259,"M",20.3600006103516,1018,565,556,62,75,11,817,675,NA,"No",0
2233,541,"H",15.1000003814697,755,525,495,17,51,12,1033,884,NA,"Yes",1
1037,685,"E",44.2099990844727,4421,726,689,8,45,38,342,293,19,"Yes",1
3839,636,"E",44.2099990844727,4421,863,848,1,14,18,355,284,20,"Yes",1
411,473,"E",44.2099990844727,4421,765,703,3,13,16,537,438,21,"Yes",1
402,473,"E",44.2099990844727,4421,893,845,4,7,16,382,312,20,"Yes",1
2061,401,"M",20.3600006103516,1018,443,436,37,79,16,2039,1769,NA,"No",0
2417,813,"M",20.3600006103516,1018,774,787,4,4,9,1345,565,NA,"No",0
5245,247,"E",44.2099990844727,4421,398,401,70,83,17,444,368,20,"No",0
3154,653,"E",44.2099990844727,4421,539,500,80,92,27,603,532,20,"Yes",1
716,339,"M",20.3600006103516,1018,668,603,15,51,9,390,339,NA,"Yes",1
2755,459,"E",44.2099990844727,4421,776,728,10,25,12,264,238,19,"Yes",1
2712,185,"E",44.2099990844727,4421,580,554,22,74,12,158,124,19,"No",1
114,294,"M",20.3600006103516,1018,581,563,33,52,8,618,545,NA,"No",1
3122,653,"E",44.2099990844727,4421,503,442,73,95,17,643,567,22,"Yes",1
5903,751,"E",44.2099990844727,4421,724,673,3,51,16,424,386,18,"Yes",1
980,364,"E",44.2099990844727,4421,476,409,38,96,8,541,478,NA,"Yes",1
783,497,"H",15.1000003814697,755,712,694,0,3,7,532,303,NA,"No",1
1055,155,"E",44.2099990844727,4421,529,478,9,74,5,473,397,NA,"Yes",1
917,537,"E",44.2099990844727,4421,870,852,2,7,20,337,278,19,"Yes",1
