"art","fem","mar","kid5","phd","ment","expo","wt"
0,"Men","Married",0,2.51999998092651,7,0.8,3
0,"Women","Single",0,2.04999995231628,6,1.53,1
0,"Women","Single",0,3.75,6,1.88,2
0,"Men","Married",1,1.17999994754791,3,0.93,1
0,"Women","Single",0,3.75,26,0.66,1
0,"Women","Married",2,3.58999991416931,2,1.55,2
0,"Women","Single",0,3.19000005722046,3,1.29,3
0,"Men","Married",2,2.96000003814697,4,1.71,2
0,"Men","Single",0,4.61999988555908,6,1.93,1
0,"Women","Married",0,1.25,0,0.67,3
0,"Men","Single",0,2.96000003814697,14,0.91,2
0,"Women","Single",0,0.754999995231628,13,1.24,1
0,"Women","Married",1,3.69000005722046,3,0.98,3
0,"Women","Married",0,3.40000009536743,4,1.34,3
0,"Women","Married",0,1.78999996185303,0,0.89,2
0,"Women","Single",0,3.08999991416931,1,0.8,2
0,"Women","Married",0,2,7,1.08,2
0,"Men","Married",2,4.28999996185303,13,1.83,2
0,"Women","Single",0,3.35999989509583,7,1.33,3
0,"Women","Single",0,4.28999996185303,9,1.76,3
0,"Women","Married",0,2.25999999046326,6,1.84,3
0,"Men","Married",3,2.96000003814697,3,1.58,1
0,"Men","Married",1,4.28999996185303,5,0.82,3
0,"Men","Married",1,2.85999989509583,4,0.84,1
0,"Men","Married",3,2.75999999046326,1,0.71,3
0,"Women","Married",0,1.51999998092651,3,1.22,2
0,"Women","Married",1,3.53999996185303,8,1.16,3
0,"Men","Married",1,4.28999996185303,3,1.95,3
0,"Women","Single",0,3.08999991416931,0,0.71,1
0,"Men","Married",0,2.3199999332428,3,1.93,1
0,"Women","Single",0,2.39000010490417,0,1.17,2
0,"Men","Married",0,4.28999996185303,8,0.59,2
0,"Women","Single",0,1.50499999523163,13,0.91,1
0,"Men","Single",0,2.09999990463257,0,0.55,2
0,"Men","Married",1,1.51999998092651,0,0.52,1
0,"Women","Single",0,2,0,1.23,1
0,"Women","Single",0,1.75,0,1.39,2
0,"Men","Single",0,4.28999996185303,9,1.4,3
0,"Men","Married",1,1.22000002861023,2,1.1,1
0,"Women","Married",0,3.75,5,1.1,1
0,"Men","Single",0,4.28999996185303,9,1.72,3
0,"Women","Married",1,2.85999989509583,3,0.85,2
0,"Men","Single",0,3.92000007629395,5,1.74,3
0,"Women","Married",1,3.35999989509583,3,1.3,1
0,"Men","Single",0,2.09999990463257,6,1.89,2
0,"Men","Married",1,1.17999994754791,0,1.32,3
0,"Men","Married",0,2.5,1,1.64,3
0,"Men","Married",0,3.35999989509583,25,0.6,3
0,"Women","Single",0,4.53999996185303,14,1.69,2
0,"Women","Married",0,3.92000007629395,8,1.45,1
0,"Men","Single",0,4.53999996185303,5,1.08,2
0,"Women","Married",2,1.97000002861023,0,1.35,3
0,"Men","Married",2,2.96000003814697,12,1.88,1
0,"Men","Married",0,4.28999996185303,8,1.96,1
0,"Men","Married",1,2.25999999046326,2,1.9,2
0,"Women","Single",0,2.11999988555908,11,1.07,3
0,"Women","Single",0,3.21000003814697,2,0.88,3
0,"Men","Married",1,3.15000009536743,1,0.89,2
0,"Men","Married",1,3.92000007629395,1,0.8,1
0,"Men","Single",0,2.96000003814697,0,0.7,3
0,"Women","Single",0,2.85999989509583,6,1.44,2
0,"Men","Married",1,2.09999990463257,0,0.76,1
0,"Women","Single",0,3.75,4,1.8,3
0,"Women","Married",0,3.53999996185303,2,1.98,3
0,"Women","Married",0,2.53999996185303,1,1.98,1
0,"Men","Married",1,2.75999999046326,3,1.84,3
0,"Men","Married",0,4.53999996185303,10,1.83,1
0,"Men","Married",0,1.67999994754791,6,0.74,2
0,"Men","Married",1,2.20000004768372,0,1.9,1
