"lw","s","iq","expr","tenure","rns","smsa","year","med","kww","age","mrt"
5.90000009536743,12,93,0.462000012397766,0,0,1,"y68",8,35,19,0
5.43800020217896,16,119,0,2,0,1,"y66",14,41,23,0
5.71000003814697,14,108,0.423000007867813,1,0,1,"y67",14,46,20,0
5.48099994659424,12,96,0.333000004291534,1,0,1,"y66",12,32,18,0
5.92700004577637,9,74,9.01299953460693,3,0,1,"y73",6,27,26,1
4.80399990081787,9,91,0.333000004291534,1,0,1,"y66",8,24,16,0
6.51200008392334,18,114,1.20500004291534,6,0,1,"y73",8,50,30,1
5.80800008773804,15,111,1.25,1,0,0,"y67",14,37,23,1
5.73699998855591,12,95,2.04800009727478,2,0,1,"y66",12,44,22,1
6.38199996948242,18,132,1.37199997901917,5,0,0,"y73",13,44,30,1
5.74300003051758,14,102,0,1,0,0,"y69",16,45,22,1
6.21500015258789,14,125,0.365000009536743,1,0,0,"y70",12,40,20,0
5.25699996948242,16,119,0.689999997615814,0,0,1,"y73",10,24,20,0
6.61999988555908,16,118,2.38899993896484,0,0,1,"y73",12,47,26,1
5.71400022506714,10,105,4.37799978256226,2,0,1,"y66",6,37,21,1
5.59499979019165,12,109,0,2,0,1,"y66",12,39,22,0
5.80800008773804,11,72,8.78699970245361,1,0,1,"y71",10,36,29,1
5.90000009536743,12,105,0,0,0,1,"y73",12,29,21,0
5.2979998588562,11,101,0.377999991178513,1,0,1,"y67",8,34,18,0
5.78399991989136,12,123,1.78600001335144,3,0,1,"y70",12,37,21,0
6.22499990463257,16,113,0.469999998807907,7,0,1,"y70",12,49,26,1
5.74300003051758,12,95,0.294999986886978,1,0,1,"y66",10,36,24,0
6.86899995803833,16,145,8.34099960327148,4,0,0,"y71",12,50,29,1
6.12200021743774,16,114,1,1,0,1,"y69",11,35,21,0
6.23999977111816,16,124,1.44700002670288,2,0,1,"y73",16,32,21,0
5.15299987792969,12,93,2.37800002098083,2,0,1,"y66",12,40,21,1
6.56899976730347,18,115,4.44999980926514,0,1,1,"y73",8,39,27,1
